symbol,name,group,subgroup,summary,reference_url,analysis_date
00400A.TW,主動國泰動能高息,資產管理,主動型高股息 ETF,台灣首批主動型 ETF，由基金經理人選股，鎖定高股息與動能因子。,https://www.cathayholdings.com/at/,2026-05-10
00401A.TW,主動摩根台灣鑫收,資產管理,主動型收益 ETF,摩根投信發行，採主動管理策略，結合台灣優質企業債與股票收益。,https://am.jpmorgan.com/tw,2026-05-10
0050.TW,元大台灣50,核心寬基,藍籌權值股,追蹤臺灣 50 指數，涵蓋台股市場市值前 50 大企業，具市場代表性。,https://www.yuantafunds.com/,2026-05-10
0051.TW,元大中型100,核心寬基,中型成長股,追蹤中型 100 指數，鎖定市值第 51 至 150 名之企業，代表中堅力量。,https://www.moneydj.com/etf/x/basic/basic0004.xdjpx?etfid=0051.TW,2026-05-10
0052.TW,富邦科技,核心科技板塊,半導體與電子供應鏈,高度集中於台積電及關鍵電子零組件，為純度極高的台股科技 ETF。,https://www.fubon.com/asset-management/,2026-05-10
0053.TW,元大電子,核心科技板塊,電子權值股,追蹤電子類加權指數，包含半導體、電腦周邊、光電等科技核心。,https://www.yuantafunds.com/,2026-05-10
0055.TW,元大MSCI金融,金融服務,銀行保險金控,追蹤 MSCI 台灣金融指數，成分股涵蓋台灣主要金控與銀行體系。,https://www.moneydj.com/etf/x/basic/basic0004.xdjpx?etfid=0055.TW,2026-05-10
0056.TW,元大高股息,收益策略,預測型高殖利率,從台灣 50 與中型 100 中挑選未來一年預計配息率最高之 50 檔股票。,https://www.yuantafunds.com/,2026-05-10
0057.TW,富邦摩台,核心寬基,MSCI 台灣成分股,追蹤 MSCI 台灣指數，為外資觀察與配置台股的重要標準。,https://www.fubon.com/asset-management/,2026-05-10
0061.TW,元大寶滬深,區域配置,A股藍籌,追蹤滬深 300 指數，鎖定中國上交所與深交所市值最大的藍籌股。,https://www.yuantafunds.com/,2026-05-10
006201.TWO,元大富櫃50,核心寬基,中小企業與生技,追蹤櫃買中心市值前 50 大公司，成分股多為生技與電子中小企業。,https://www.tpex.org.tw/,2026-05-10
006203.TW,元大MSCI台灣,核心寬基,MSCI 指數,追蹤 MSCI 台灣指數，與 0057 相似，作為大型權值股配置工具。,https://www.yuantafunds.com/,2026-05-10
006204.TW,永豐臺灣加權,核心寬基,全市場加權,追蹤大盤加權指數，試圖複製整體台股市場之表現。,https://sitc.sinopac.com/,2026-05-10
006205.TW,富邦上証,區域配置,上證 180 指數,追蹤上證 180 指數，反映上海證券交易所大型藍籌股動向。,https://www.fubon.com/asset-management/,2026-05-10
006206.TW,元大上證50,區域配置,上證超大型股,追蹤上證 50 指數，包含上交所規模最大、流動性最好的 50 檔股票。,https://www.yuantafunds.com/,2026-05-10
006207.TW,復華滬深,區域配置,滬深 300,追蹤滬深 300 指數，提供中國 A 股市場的全方位曝險。,https://www.fhtrust.com.tw/,2026-05-10
006208.TW,富邦台50,核心寬基,藍籌權值股,與 0050 相似，追蹤臺灣 50 指數，以低管理費為其核心競爭力。,https://www.fubon.com/asset-management/,2026-05-10
00625K.TW,富邦上証+R,區域配置,人民幣計價 A 股,以人民幣計價，追蹤上證 180 指數之表现。,https://www.fubon.com/asset-management/,2026-05-10
00631L.TW,元大台灣50正2,槓桿策略,雙倍槓桿台股,追蹤臺灣 50 指數單日正向 2 倍表現，適合短期交易或策略性避險。,https://www.yuantafunds.com/,2026-05-10
00632R.TW,元大台灣50反1,槓桿策略,反向避險台股,追蹤臺灣 50 指數單日反向 1 倍表現，為台股主要的避險工具。,https://www.yuantafunds.com/,2026-05-10
00633L.TW,富邦上証正2,槓桿策略,雙倍槓桿 A 股,追蹤上證 180 指數單日正向 2 倍表現。,https://www.fubon.com/asset-management/,2026-05-10
00634R.TW,富邦上証反1,槓桿策略,反向避險 A 股,追蹤上證 180 指數單日反向 1 倍表現。,https://www.fubon.com/asset-management/,2026-05-10
00635U.TW,期元大S&P黃金,商品能源,黃金現貨期貨,追蹤 S&P GSCI Gold Index，反映國際黃金價格走勢。,https://www.yuantafunds.com/,2026-05-10
00636.TW,國泰中國A50,區域配置,A股超大型股,追蹤富時中國 A50 指數，鎖定中國市值最大的 50 家公司。,https://www.cathayholdings.com/at/,2026-05-10
00636K.TW,國泰中國A50+U,區域配置,美元計價 A 股,以美元計價，追蹤富時中國 A50 指數之表現。,https://www.cathayholdings.com/at/,2026-05-10
00637L.TW,元大滬深300正2,槓桿策略,雙倍槓桿 A 股,追蹤滬深 300 指數單日正向 2 倍表現，流動性高。,https://www.yuantafunds.com/,2026-05-10
00638R.TW,元大滬深300反1,槓桿策略,反向避險 A 股,追蹤滬深 300 指數單日反向 1 倍表現。,https://www.yuantafunds.com/,2026-05-10
00639.TW,富邦深100,區域配置,深圳成長股,追蹤深證 100 指數，成分股包含較多科技與民生消費成長股。,https://www.fubon.com/asset-management/,2026-05-10
00640L.TW,富邦日本正2,區域配置,雙倍槓桿日股,追蹤東證指數（TOPIX）單日正向 2 倍表現。,https://www.fubon.com/asset-management/,2026-05-10
00641R.TW,富邦日本反1,區域配置,反向避險日股,追蹤東證指數（TOPIX）單日反向 1 倍表現。,https://www.fubon.com/asset-management/,2026-05-10
00642U.TW,期元大S&P石油,商品能源,原油期貨,追蹤 S&P GSCI Light Sweet Crude Oil Index，反映西德州原油走勢。,https://www.yuantafunds.com/,2026-05-10
00643.TW,群益深証中小,區域配置,中國中小板,追蹤深證中小板指數，聚焦具成長潛力之中小型企業。,https://www.capitalfund.com.tw/,2026-05-10
00643K.TW,群益深証中小+R,區域配置,人民幣計價 A 股,以人民幣計價，追蹤深證中小板指數之表現。,https://www.capitalfund.com.tw/,2026-05-10
00645.TW,富邦日本,區域配置,日股寬基,追蹤東證指數（TOPIX），為台灣配置日股的核心工具之一。,https://www.fubon.com/asset-management/,2026-05-10
00646.TW,元大S&P500,區域配置,美股寬基,追蹤標普 500 指數，涵蓋美國市值前 500 大公司。,https://www.yuantafunds.com/,2026-05-10
00647L.TW,元大S&P500正2,槓桿策略,雙倍槓桿美股,追蹤 S&P 500 指數單日正向 2 倍表現。,https://www.yuantafunds.com/,2026-05-10
00648R.TW,元大S&P500反1,槓桿策略,反向避險美股,追蹤 S&P 500 指數單日反向 1 倍表現。,https://www.yuantafunds.com/,2026-05-10
00650L.TW,復華香港正2,區域配置,雙倍槓桿港股,追蹤恒生國企指數單日正向 2 倍表現。,https://www.fhtrust.com.tw/,2026-05-10
00651R.TW,復華香港反1,區域配置,反向避險港股,追蹤恒生國企指數單日反向 1 倍表現。,https://www.fhtrust.com.tw/,2026-05-10
00652.TW,富邦印度,區域配置,印度藍籌,追蹤印度 NIFTY 指數，包含印度最具代表性的 50 家大型公司。,https://www.fubon.com/asset-management/,2026-05-10
00653L.TW,富邦印度正2,槓桿策略,雙倍槓桿印度股,追蹤印度 NIFTY 指數單日正向 2 倍表現，適合捕捉印度成長動能。,https://www.fubon.com/asset-management/,2026-05-10
00654R.TW,富邦印度反1,槓桿策略,反向避險印度股,追蹤印度 NIFTY 指數單日反向 1 倍表現，用於對沖印度市場風險。,https://www.fubon.com/asset-management/,2026-05-10
00655L.TW,國泰中國A50正2,槓桿策略,雙倍槓桿 A 股,追蹤富時中國 A50 指數單日正向 2 倍表現。,https://www.cathayholdings.com/at/,2026-05-10
00656R.TW,國泰中國A50反1,槓桿策略,反向避險 A 股,追蹤富時中國 A50 指數單日反向 1 倍表現。,https://www.cathayholdings.com/at/,2026-05-10
00657.TW,國泰日經225,區域配置,日股寬基,追蹤日經 225 指數，涵蓋日本最具代表性的 225 家大型企業。,https://www.cathayholdings.com/at/,2026-05-10
00657K.TW,國泰日經225+U,區域配置,美元計價日股,以美元計價，追蹤日經 225 指數之表現。,https://www.cathayholdings.com/at/,2026-05-10
00660.TW,元大歐洲50,區域配置,歐股寬基,追蹤歐洲 STOXX 50 指數，鎖定歐元區 50 檔大型藍籌股。,https://www.yuantafunds.com/,2026-05-10
00661.TW,元大日經225,區域配置,日股寬基,追蹤日經 225 指數，提供投資人參與日本股市龍頭企業的工具。,https://www.yuantafunds.com/,2026-05-10
00662.TW,富邦NASDAQ,核心科技板塊,美股科技成長,追蹤那斯達克 100 指數，成分股包含全球科技、生技等領先企業。,https://www.fubon.com/asset-management/,2026-05-10
00663L.TW,國泰臺灣加權正2,槓桿策略,雙倍槓桿台股,追蹤大盤加權指數單日正向 2 倍表現。,https://www.cathayholdings.com/at/,2026-05-10
00664R.TW,國泰臺灣加權反1,槓桿策略,反向避險台股,追蹤大盤加權指數單日反向 1 倍表現。,https://www.cathayholdings.com/at/,2026-05-10
00665L.TW,富邦恒生國企正2,區域配置,雙倍槓桿港股,追蹤恒生中國企業指數單日正向 2 倍表現。,https://www.fubon.com/asset-management/,2026-05-10
00666R.TW,富邦恒生國企反1,區域配置,反向避險港股,追蹤恒生中國企業指數單日反向 1 倍表現。,https://www.fubon.com/asset-management/,2026-05-10
00668.TW,國泰美國道瓊,核心寬基,美股藍籌,追蹤道瓊工業平均指數，包含美國 30 檔各產業代表性龍頭。,https://www.cathayholdings.com/at/,2026-05-10
00668K.TW,國泰美國道瓊+U,核心寬基,美元計價美股,以美元計價，追蹤美國道瓊工業平均指數。,https://www.cathayholdings.com/at/,2026-05-10
00669R.TW,國泰美國道瓊反1,槓桿策略,反向避險美股,追蹤道瓊工業指數單日反向 1 倍表現。,https://www.cathayholdings.com/at/,2026-05-10
00670L.TW,富邦NASDAQ正2,槓桿策略,雙倍槓桿美股,追蹤那斯達克 100 指數單日正向 2 倍表現。,https://www.fubon.com/asset-management/,2026-05-10
00671R.TW,富邦NASDAQ反1,槓桿策略,反向避險美股,追蹤那斯達克 100 指數單日反向 1 倍表現。,https://www.fubon.com/asset-management/,2026-05-10
00673R.TW,期元大S&P原油反1,商品能源,原油期貨反向,追蹤標普高盛輕原油指數單日反向 1 倍表現。,https://www.yuantafunds.com/,2026-05-10
00674R.TW,期元大S&P黃金反1,商品能源,黃金期貨反向,追蹤標普高盛黃金指數單日反向 1 倍表現。,https://www.yuantafunds.com/,2026-05-10
00675L.TW,富邦臺灣加權正2,槓桿策略,雙倍槓桿台股,追蹤加權指數單日正向 2 倍表現。,https://www.fubon.com/asset-management/,2026-05-10
00676R.TW,富邦臺灣加權反1,槓桿策略,反向避險台股,追蹤加權指數單日反向 1 倍表現。,https://www.fubon.com/asset-management/,2026-05-10
00678.TW,群益那斯達克生技,醫療保健,精準醫療與生技,追蹤 NBI 生技指數，專注於美國掛牌的生物技術與製藥企業。,https://www.capitalfund.com.tw/,2026-05-10
00679B.TWO,元大美債20年,債券市場,長天期公債,追蹤 ICE 美國政府 20+ 年期債券指數，受利率變動影響度高。,https://www.yuantafunds.com/,2026-05-10
00680L.TW,元大美債20正2,債券市場,槓桿型美債,追蹤 ICE 美國政府 20+ 年期債券指數單日正向 2 倍表現。,https://www.yuantafunds.com/,2026-05-10
00681R.TW,元大美債20反1,債券市場,反向型美債,追蹤 ICE 美國政府 20+ 年期債券指數單日反向 1 倍表現。,https://www.yuantafunds.com/,2026-05-10
00682U.TW,期元大美元指數,外匯市場,美元匯率期貨,追蹤美元指數期貨，反映美元相對於一籃子主要貨幣的強弱。,https://www.yuantafunds.com/,2026-05-10
00683L.TW,期元大美元指正2,外匯市場,槓桿型外匯,追蹤美元指數期貨單日正向 2 倍表現。,https://www.yuantafunds.com/,2026-05-10
00684R.TW,期元大美元指反1,外匯市場,反向型外匯,追蹤美元指數期貨單日反向 1 倍表現。,https://www.yuantafunds.com/,2026-05-10
00685L.TW,群益臺灣加權正2,槓桿策略,雙倍槓桿台股,追蹤台股加權指數單日正向 2 倍表現。,https://www.capitalfund.com.tw/,2026-05-10
00686R.TW,群益臺灣加權反1,槓桿策略,反向避險台股,追蹤台股加權指數單日反向 1 倍表現。,https://www.capitalfund.com.tw/,2026-05-10
00687B.TWO,國泰20年美債,債券市場,長天期公債,追蹤 Bloomberg 美國政府 20+ 年期債券指數。,https://www.cathayholdings.com/at/,2026-05-10
00687C.TWO,國泰20年美債+櫃U,債券市場,美元計價美債,於櫃買中心交易之美元計價長天期美債 ETF。,https://www.cathayholdings.com/at/,2026-05-10
00688L.TW,國泰20年美債正2,債券市場,槓桿型美債,追蹤美國政府 20+ 年期債券指數單日正向 2 倍表現。,https://www.cathayholdings.com/at/,2026-05-10
00689R.TW,國泰20年美債反1,債券市場,反向型美債,追蹤美國政府 20+ 年期債券指數單日反向 1 倍表現。,https://www.cathayholdings.com/at/,2026-05-10
00690.TW,兆豐藍籌30,核心寬基,高質量藍籌股,篩選符合財務績效及獲利能力佳之 30 檔台股企業。,https://www.megafunds.com.tw/,2026-05-10
00692.TW,富邦公司治理,永續經營,ESG 治理企業,追蹤公司治理 100 指數，鎖定治理評鑑優良之台灣企業。,https://www.fubon.com/asset-management/,2026-05-10
00693U.TW,期街口S&P黃豆,商品能源,農產品期貨,追蹤 S&P GSCI Soybeans Index，反映國際黃豆價格波動。,https://www.jkofunds.com.tw/,2026-05-10
00694B.TWO,富邦美債1-3,債券市場,短天期公債,追蹤美債 1-3 年期指數，適合作為現金替代工具與資金避風港。,https://www.fubon.com/asset-management/,2026-05-10
00695B.TWO,富邦美債7-10,債券市場,中天期公債,追蹤美債 7-10 年期指數，波動性介於長短債之間。,https://www.fubon.com/asset-management/,2026-05-10
00696B.TWO,富邦美債20年,債券市場,長天期公債,追蹤彭博美國政府 20+ 年期債券指數，對利率極為敏感。,https://www.fubon.com/asset-management/,2026-05-10
00697B.TWO,元大美債7-10,債券市場,中天期公債,追蹤美債 7-10 年期指數，提供中等存續期間之債券配置。,https://www.yuantafunds.com/,2026-05-10
