symbol,name,market,industry,llm_input
00400A.TW,主動國泰動能高息,上市,ETF,00400A.TW 主動國泰動能高息；市場：上市；官方產業別：ETF
00401A.TW,主動摩根台灣鑫收,上市,ETF,00401A.TW 主動摩根台灣鑫收；市場：上市；官方產業別：ETF
0050.TW,元大台灣50,上市,ETF,0050.TW 元大台灣50；市場：上市；官方產業別：ETF
0051.TW,元大中型100,上市,ETF,0051.TW 元大中型100；市場：上市；官方產業別：ETF
0052.TW,富邦科技,上市,ETF,0052.TW 富邦科技；市場：上市；官方產業別：ETF
0053.TW,元大電子,上市,ETF,0053.TW 元大電子；市場：上市；官方產業別：ETF
0055.TW,元大MSCI金融,上市,ETF,0055.TW 元大MSCI金融；市場：上市；官方產業別：ETF
0056.TW,元大高股息,上市,ETF,0056.TW 元大高股息；市場：上市；官方產業別：ETF
0057.TW,富邦摩台,上市,ETF,0057.TW 富邦摩台；市場：上市；官方產業別：ETF
0061.TW,元大寶滬深,上市,ETF,0061.TW 元大寶滬深；市場：上市；官方產業別：ETF
006201.TWO,元大富櫃50,上櫃,ETF,006201.TWO 元大富櫃50；市場：上櫃；官方產業別：ETF
006203.TW,元大MSCI台灣,上市,ETF,006203.TW 元大MSCI台灣；市場：上市；官方產業別：ETF
006204.TW,永豐臺灣加權,上市,ETF,006204.TW 永豐臺灣加權；市場：上市；官方產業別：ETF
006205.TW,富邦上証,上市,ETF,006205.TW 富邦上証；市場：上市；官方產業別：ETF
006206.TW,元大上證50,上市,ETF,006206.TW 元大上證50；市場：上市；官方產業別：ETF
006207.TW,復華滬深,上市,ETF,006207.TW 復華滬深；市場：上市；官方產業別：ETF
006208.TW,富邦台50,上市,ETF,006208.TW 富邦台50；市場：上市；官方產業別：ETF
00625K.TW,富邦上証+R,上市,ETF,00625K.TW 富邦上証+R；市場：上市；官方產業別：ETF
00631L.TW,元大台灣50正2,上市,ETF,00631L.TW 元大台灣50正2；市場：上市；官方產業別：ETF
00632R.TW,元大台灣50反1,上市,ETF,00632R.TW 元大台灣50反1；市場：上市；官方產業別：ETF
00633L.TW,富邦上証正2,上市,ETF,00633L.TW 富邦上証正2；市場：上市；官方產業別：ETF
00634R.TW,富邦上証反1,上市,ETF,00634R.TW 富邦上証反1；市場：上市；官方產業別：ETF
00635U.TW,期元大S&P黃金,上市,ETF,00635U.TW 期元大S&P黃金；市場：上市；官方產業別：ETF
00636.TW,國泰中國A50,上市,ETF,00636.TW 國泰中國A50；市場：上市；官方產業別：ETF
00636K.TW,國泰中國A50+U,上市,ETF,00636K.TW 國泰中國A50+U；市場：上市；官方產業別：ETF
00637L.TW,元大滬深300正2,上市,ETF,00637L.TW 元大滬深300正2；市場：上市；官方產業別：ETF
00638R.TW,元大滬深300反1,上市,ETF,00638R.TW 元大滬深300反1；市場：上市；官方產業別：ETF
00639.TW,富邦深100,上市,ETF,00639.TW 富邦深100；市場：上市；官方產業別：ETF
00640L.TW,富邦日本正2,上市,ETF,00640L.TW 富邦日本正2；市場：上市；官方產業別：ETF
00641R.TW,富邦日本反1,上市,ETF,00641R.TW 富邦日本反1；市場：上市；官方產業別：ETF
00642U.TW,期元大S&P石油,上市,ETF,00642U.TW 期元大S&P石油；市場：上市；官方產業別：ETF
00643.TW,群益深証中小,上市,ETF,00643.TW 群益深証中小；市場：上市；官方產業別：ETF
00643K.TW,群益深証中小+R,上市,ETF,00643K.TW 群益深証中小+R；市場：上市；官方產業別：ETF
00645.TW,富邦日本,上市,ETF,00645.TW 富邦日本；市場：上市；官方產業別：ETF
00646.TW,元大S&P500,上市,ETF,00646.TW 元大S&P500；市場：上市；官方產業別：ETF
00647L.TW,元大S&P500正2,上市,ETF,00647L.TW 元大S&P500正2；市場：上市；官方產業別：ETF
00648R.TW,元大S&P500反1,上市,ETF,00648R.TW 元大S&P500反1；市場：上市；官方產業別：ETF
00650L.TW,復華香港正2,上市,ETF,00650L.TW 復華香港正2；市場：上市；官方產業別：ETF
00651R.TW,復華香港反1,上市,ETF,00651R.TW 復華香港反1；市場：上市；官方產業別：ETF
00652.TW,富邦印度,上市,ETF,00652.TW 富邦印度；市場：上市；官方產業別：ETF
00653L.TW,富邦印度正2,上市,ETF,00653L.TW 富邦印度正2；市場：上市；官方產業別：ETF
00654R.TW,富邦印度反1,上市,ETF,00654R.TW 富邦印度反1；市場：上市；官方產業別：ETF
00655L.TW,國泰中國A50正2,上市,ETF,00655L.TW 國泰中國A50正2；市場：上市；官方產業別：ETF
00656R.TW,國泰中國A50反1,上市,ETF,00656R.TW 國泰中國A50反1；市場：上市；官方產業別：ETF
00657.TW,國泰日經225,上市,ETF,00657.TW 國泰日經225；市場：上市；官方產業別：ETF
00657K.TW,國泰日經225+U,上市,ETF,00657K.TW 國泰日經225+U；市場：上市；官方產業別：ETF
00660.TW,元大歐洲50,上市,ETF,00660.TW 元大歐洲50；市場：上市；官方產業別：ETF
00661.TW,元大日經225,上市,ETF,00661.TW 元大日經225；市場：上市；官方產業別：ETF
00662.TW,富邦NASDAQ,上市,ETF,00662.TW 富邦NASDAQ；市場：上市；官方產業別：ETF
00663L.TW,國泰臺灣加權正2,上市,ETF,00663L.TW 國泰臺灣加權正2；市場：上市；官方產業別：ETF
00664R.TW,國泰臺灣加權反1,上市,ETF,00664R.TW 國泰臺灣加權反1；市場：上市；官方產業別：ETF
00665L.TW,富邦恒生國企正2,上市,ETF,00665L.TW 富邦恒生國企正2；市場：上市；官方產業別：ETF
00666R.TW,富邦恒生國企反1,上市,ETF,00666R.TW 富邦恒生國企反1；市場：上市；官方產業別：ETF
00668.TW,國泰美國道瓊,上市,ETF,00668.TW 國泰美國道瓊；市場：上市；官方產業別：ETF
00668K.TW,國泰美國道瓊+U,上市,ETF,00668K.TW 國泰美國道瓊+U；市場：上市；官方產業別：ETF
00669R.TW,國泰美國道瓊反1,上市,ETF,00669R.TW 國泰美國道瓊反1；市場：上市；官方產業別：ETF
00670L.TW,富邦NASDAQ正2,上市,ETF,00670L.TW 富邦NASDAQ正2；市場：上市；官方產業別：ETF
00671R.TW,富邦NASDAQ反1,上市,ETF,00671R.TW 富邦NASDAQ反1；市場：上市；官方產業別：ETF
00673R.TW,期元大S&P原油反1,上市,ETF,00673R.TW 期元大S&P原油反1；市場：上市；官方產業別：ETF
00674R.TW,期元大S&P黃金反1,上市,ETF,00674R.TW 期元大S&P黃金反1；市場：上市；官方產業別：ETF
00675L.TW,富邦臺灣加權正2,上市,ETF,00675L.TW 富邦臺灣加權正2；市場：上市；官方產業別：ETF
